                                                      tipo                                  rol  pct_nulos  dif_default_pp_si_ausente                                        tratamiento
member_id                                          float32                        identificador   100.0000                        NaN       ELIMINAR: identificador sin valor predictivo
next_pymnt_d                                        object               fuga (post-desembolso)   100.0000                        NaN                      ELIMINAR: fuga de informacion
orig_projected_additional_accrued_interest         float32               fuga (post-desembolso)    99.7210                        NaN                      ELIMINAR: fuga de informacion
hardship_end_date                                 category               fuga (post-desembolso)    99.5720                        NaN                      ELIMINAR: fuga de informacion
hardship_reason                                   category               fuga (post-desembolso)    99.5720                        NaN                      ELIMINAR: fuga de informacion
payment_plan_start_date                           category               fuga (post-desembolso)    99.5720                        NaN                      ELIMINAR: fuga de informacion
hardship_length                                    float32               fuga (post-desembolso)    99.5720                        NaN                      ELIMINAR: fuga de informacion
hardship_amount                                    float32               fuga (post-desembolso)    99.5720                        NaN                      ELIMINAR: fuga de informacion
hardship_dpd                                       float32               fuga (post-desembolso)    99.5720                        NaN                      ELIMINAR: fuga de informacion
hardship_loan_status                              category               fuga (post-desembolso)    99.5720                        NaN                      ELIMINAR: fuga de informacion
deferral_term                                      float32               fuga (post-desembolso)    99.5720                        NaN                      ELIMINAR: fuga de informacion
hardship_status                                   category               fuga (post-desembolso)    99.5720                        NaN                      ELIMINAR: fuga de informacion
hardship_payoff_balance_amount                     float32               fuga (post-desembolso)    99.5720                        NaN                      ELIMINAR: fuga de informacion
hardship_last_payment_amount                       float32               fuga (post-desembolso)    99.5720                        NaN                      ELIMINAR: fuga de informacion
hardship_start_date                               category               fuga (post-desembolso)    99.5720                        NaN                      ELIMINAR: fuga de informacion
hardship_type                                     category               fuga (post-desembolso)    99.5720                        NaN                      ELIMINAR: fuga de informacion
sec_app_mths_since_last_major_derog                float32  predictora condicional (>70% nulos)    99.5060                        NaN                           ELIMINAR: >70 % de nulos
sec_app_revol_util                                 float32  predictora condicional (>70% nulos)    98.6400                    -4.5500                           ELIMINAR: >70 % de nulos
sec_app_collections_12_mths_ex_med                 float32  predictora condicional (>70% nulos)    98.6150                    -4.8800                           ELIMINAR: >70 % de nulos
sec_app_chargeoff_within_12_mths                   float32  predictora condicional (>70% nulos)    98.6150                    -4.8800                           ELIMINAR: >70 % de nulos
sec_app_num_rev_accts                              float32  predictora condicional (>70% nulos)    98.6150                    -4.8800                           ELIMINAR: >70 % de nulos
